Region code,Region name (en),Region name (fi),Year,GDP per capita (EUR),Population,GDP (EUR),GDP absolute growth (EUR),GDP relative growth (%),GDP per capita  absolute growth (EUR),GDP per capita  relative growth (%)
MK01,Uusimaa,Uusimaa,2016,52146.9,1629277.0,84961744791.3,,,,
MK01,Uusimaa,Uusimaa,2017,53659.9,1646959.0,88375655244.1,3413910452.800003,3.8629534834797354,1513.0,2.8196101744505673
MK01,Uusimaa,Uusimaa,2018,55083.8,1663324.0,91622206551.20001,3246551307.100006,3.543410958221989,1423.9000000000015,2.5849705358018173
MK01,Uusimaa,Uusimaa,2019,56807.8,1680375.0,95458406925.0,3836200373.799988,4.0187140110289326,1724.0,3.034794517654266
MK01,Uusimaa,Uusimaa,2020,55537.6,1696202.0,94202988195.2,-1255418729.800003,-1.3326739988317817,-1270.2000000000044,-2.287099190458364
MK02,Southwest Finland,Varsinais-Suomi,2016,36350.1,474933.0,17263862043.3,,,,
MK02,Southwest Finland,Varsinais-Suomi,2017,38604.9,476610.0,18399481389.0,1135619345.7000008,6.172018230790585,2254.800000000003,5.840709340006069
MK02,Southwest Finland,Varsinais-Suomi,2018,39727.3,478130.0,18994813949.0,595332560.0,3.134184739047375,1122.4000000000015,2.8252612183561463
MK02,Southwest Finland,Varsinais-Suomi,2019,40628.8,478962.0,19459651305.600002,464837356.6000023,2.3887239771158373,901.5,2.2188693734493756
MK02,Southwest Finland,Varsinais-Suomi,2020,39987.5,480372.0,19208875350.0,-250775955.6000023,-1.3055212813383283,-641.3000000000029,-1.6037511722413327
MK04,Satakunta,Satakunta,2016,35301.8,222349.0,7849319928.200001,,,,
MK04,Satakunta,Satakunta,2017,36473.8,221069.0,8063226492.200001,213906564.0,2.6528656265196506,1172.0,3.213265412433034
MK04,Satakunta,Satakunta,2018,37173.3,219511.0,8159948256.3,96721764.09999943,1.1853232528199436,699.5,1.881726938420856
MK04,Satakunta,Satakunta,2019,36896.9,217688.0,8032012367.200001,-127935889.09999943,-1.5928248519940778,-276.40000000000146,-0.7491144242470273
MK04,Satakunta,Satakunta,2020,37368.1,216084.0,8074648520.4,42636153.199998856,0.5280248804920955,471.1999999999971,1.2609685801525823
MK05,Kanta-Häme,Kanta-Häme,2016,32378.5,174246.0,5641824111.0,,,,
MK05,Kanta-Häme,Kanta-Häme,2017,33354.0,173251.0,5778613854.0,136789743.0,2.367172239849754,975.5,2.9246866942495653
MK05,Kanta-Häme,Kanta-Häme,2018,33499.0,172042.0,5763234958.0,-15378896.0,-0.2668448555728656,145.0,0.4328487417534852
MK05,Kanta-Häme,Kanta-Häme,2019,34987.0,171145.0,5987850115.0,224615157.0,3.7511820216962795,1488.0,4.253008260210935
MK05,Kanta-Häme,Kanta-Häme,2020,35862.6,170751.0,6123574812.599999,135724697.59999943,2.216429157046132,875.5999999999985,2.441540769492448
MK06,Pirkanmaa,Pirkanmaa,2016,36221.7,510045.0,18474696976.5,,,,
MK06,Pirkanmaa,Pirkanmaa,2017,37468.7,512988.0,19220993475.6,746296499.0999985,3.8827155320945357,1247.0,3.328111196812273
MK06,Pirkanmaa,Pirkanmaa,2018,39011.6,515833.0,20123470662.8,902477187.2000008,4.4846994950444055,1542.9000000000015,3.954977493873621
MK06,Pirkanmaa,Pirkanmaa,2019,40085.6,518603.0,20788512416.8,665041754.0,3.1990829390108457,1074.0,2.679266369968268
MK06,Pirkanmaa,Pirkanmaa,2020,40407.7,521362.0,21067039287.399998,278526870.5999985,1.3220978363418292,322.09999999999854,0.7971253003759149
MK07,Päijät-Häme,Päijät-Häme,2016,31909.9,208550.0,6654809645.0,,,,
MK07,Päijät-Häme,Päijät-Häme,2017,32339.9,208311.0,6736756908.900001,81947263.90000057,1.2164200817716784,430.0,1.3296268695945257
MK07,Päijät-Häme,Päijät-Häme,2018,33014.9,207721.0,6857888042.900001,121131134.0,1.7663037547748766,675.0,2.044531408545838
MK07,Päijät-Häme,Päijät-Häme,2019,33193.0,206855.0,6866138015.0,8249972.099999428,0.1201544752228437,178.09999999999854,0.5365589130238259
MK07,Päijät-Häme,Päijät-Häme,2020,33090.5,206043.0,6818065891.5,-48072123.5,-0.7050697993390022,-102.5,-0.30975657666097517
MK08,Kymenlaakso,Kymenlaakso,2016,35022.8,171274.0,5998495047.200001,,,,
MK08,Kymenlaakso,Kymenlaakso,2017,37634.9,169731.0,6387809211.900001,389314164.6999998,6.094642964206527,2612.0999999999985,6.940632232316276
MK08,Kymenlaakso,Kymenlaakso,2018,40207.6,167657.0,6741085593.2,353276381.29999924,5.240645240528663,2572.699999999997,6.398541569255557
MK08,Kymenlaakso,Kymenlaakso,2019,41794.9,165540.0,6918727746.0,177642152.8000002,2.5675551824206755,1587.300000000003,3.7978317928742573
MK08,Kymenlaakso,Kymenlaakso,2020,41978.3,163634.0,6869077142.200001,-49650603.79999924,-0.7228133091557819,183.40000000000146,0.43689239440377875
MK09,South Karelia,Etelä-Karjala,2016,36659.4,130831.0,4796185961.400001,,,,
MK09,South Karelia,Etelä-Karjala,2017,39072.8,130186.0,5086731540.8,290545579.3999996,5.711832383320645,2413.4000000000015,6.176675334247869
MK09,South Karelia,Etelä-Karjala,2018,39398.2,129311.0,5094620640.2,7889099.3999996185,0.1548515573024082,325.3999999999942,0.8259260575356087
MK09,South Karelia,Etelä-Karjala,2019,39108.5,128257.0,5015938884.5,-78681755.69999981,-1.568634656676902,-289.6999999999971,-0.7407596813991769
MK09,South Karelia,Etelä-Karjala,2020,37618.9,127339.0,4790353107.1,-225585777.39999962,-4.70916803743859,-1489.5999999999985,-3.959711740641004
MK10,South Savo,Etelä-Savo,2016,30823.8,141022.0,4346833923.599999,,,,
MK10,South Savo,Etelä-Savo,2017,31654.3,139622.0,4419636674.599999,72802751.0,1.6472564683518705,830.5,2.6236561857314804
MK10,South Savo,Etelä-Savo,2018,32728.3,137648.0,4504985038.4,85348363.80000019,1.8945315705268737,1074.0,3.2815636620294977
MK10,South Savo,Etelä-Savo,2019,33316.5,135394.0,4510854201.0,5869162.6000003815,0.13011199960085745,588.2000000000007,1.7654915732444907
MK10,South Savo,Etelä-Savo,2020,33471.8,133508.0,4468753074.400001,-42101126.59999943,-0.9421224645680867,155.3000000000029,0.4639726575804196
MK11,North Savo,Pohjois-Savo,2016,32467.2,253027.0,8215078214.400001,,,,
MK11,North Savo,Pohjois-Savo,2017,34086.5,252193.0,8596376694.5,381298480.0999994,4.435572028200624,1619.2999999999993,4.750561072565383
MK11,North Savo,Pohjois-Savo,2018,35660.8,250992.0,8950575513.6,354198819.1000004,3.9572742396487364,1574.300000000003,4.414651381909556
MK11,North Savo,Pohjois-Savo,2019,36419.5,249709.0,9094276925.5,143701411.89999962,1.580130153031369,758.6999999999971,2.0832246461373636
MK11,North Savo,Pohjois-Savo,2020,36186.3,248634.0,8997144514.2,-97132411.29999924,-1.0795915431467975,-233.1999999999971,-0.644442786358365
MK12,North Karelia,Pohjois-Karjala,2016,30770.8,167964.0,5168386651.2,,,,
MK12,North Karelia,Pohjois-Karjala,2017,31214.4,167020.0,5213429088.0,45042436.80000019,0.8639694918585645,443.6000000000022,1.4211389615049534
MK12,North Karelia,Pohjois-Karjala,2018,33680.7,166005.0,5591164603.499999,377735515.49999905,6.755936236674938,2466.2999999999956,7.322591276309566
MK12,North Karelia,Pohjois-Karjala,2019,33922.0,165017.0,5597706674.0,6542070.500000954,0.11687054861926396,241.3000000000029,0.7113377748953568
MK12,North Karelia,Pohjois-Karjala,2020,33143.7,164001.0,5435599943.7,-162106730.3000002,-2.982315328189045,-778.3000000000029,-2.348259246855369
MK13,Central Finland,Keski-Suomi,2016,33100.3,273678.0,9058823903.400002,,,,
MK13,Central Finland,Keski-Suomi,2017,34174.9,273845.0,9358625490.5,299801587.0999985,3.203478837830715,1074.5999999999985,3.14441300486614
MK13,Central Finland,Keski-Suomi,2018,35819.5,273531.0,9797743654.5,439118164.0,4.481829485284785,1644.5999999999985,4.591353871494573
MK13,Central Finland,Keski-Suomi,2019,36258.9,273091.0,9901979259.9,104235605.39999962,1.0526744468363218,439.40000000000146,1.2118404033216712
MK13,Central Finland,Keski-Suomi,2020,35557.5,272758.0,9698592585.0,-203386674.89999962,-2.097074117893773,-701.4000000000015,-1.9725796245517864
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2016,30495.2,196972.0,6006700534.400001,,,,
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2017,32093.1,196078.0,6292750861.8,286050327.3999996,4.545711941918145,1597.8999999999978,4.9789518619267
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2018,32644.1,194950.0,6363967295.0,71216433.19999981,1.1190571839668735,551.0,1.6879007232547383
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2019,34298.1,193762.0,6645668452.2,281701157.1999998,4.23886865897959,1654.0,4.822424565792274
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2020,34635.5,192679.0,6673533504.5,27865052.30000019,0.417545701706759,337.40000000000146,0.9741450246134788
MK15,Ostrobothnia,Pohjanmaa,2016,38947.9,176812.0,6886456094.8,,,,
MK15,Ostrobothnia,Pohjanmaa,2017,39518.2,176501.0,6975001818.2,88545723.39999962,1.2694724059993165,570.2999999999956,1.4431325313399792
MK15,Ostrobothnia,Pohjanmaa,2018,40695.9,176233.0,7171960544.7,196958726.5,2.7462327110200064,1177.7000000000044,2.8939033170417767
MK15,Ostrobothnia,Pohjanmaa,2019,41366.1,176058.0,7282832833.8,110872289.10000038,1.5223786077504953,670.1999999999971,1.6201672383908492
MK15,Ostrobothnia,Pohjanmaa,2020,40492.6,175870.0,7121433562.0,-161399271.8000002,-2.2663873838720816,-873.5,-2.157184275645427
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2016,34803.7,69030.0,2402499411.0,,,,
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2017,37135.7,68904.0,2558798272.7999997,156298861.7999997,6.108291671971763,2332.0,6.2796715828703915
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2018,38207.7,68609.0,2621392089.2999997,62593816.5,2.3878082472093927,1072.0,2.80571717219304
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2019,38223.0,68298.0,2610554454.0,-10837635.299999714,-0.4151468774533256,15.30000000000291,0.040028255238999846
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2020,38724.7,68073.0,2636106503.1,25552049.099999905,0.9693101955460179,501.6999999999971,1.2955555498170344
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2016,33225.8,410602.0,13642579931.6,,,,
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2017,34228.2,411503.0,14085006984.599998,442427052.9999981,3.1411205793772816,1002.3999999999942,2.9285793585406017
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2018,34788.5,412009.0,14333175096.5,248168111.90000153,1.731424546404944,560.3000000000029,1.6105897063684922
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2019,36027.8,412496.0,14861323388.800001,528148292.30000114,3.5538442875015535,1239.300000000003,3.4398436762722193
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2020,36648.3,413330.0,15147841839.000002,286518450.20000076,1.89148033921455,620.5,1.6931208268869222
MK18,Kainuu,Kainuu,2016,28797.4,75064.0,2161648033.6,,,,
MK18,Kainuu,Kainuu,2017,31229.5,74381.0,2322881439.5,161233405.9000001,6.941094933140693,2432.0999999999985,7.787828815703096
MK18,Kainuu,Kainuu,2018,33083.7,73510.0,2431982787.0,109101347.5,4.486106895295226,1854.199999999997,5.6045726445349136
MK18,Kainuu,Kainuu,2019,33825.6,72684.0,2458579910.4,26597123.400000095,1.081808375944667,741.9000000000015,2.193309209592739
MK18,Kainuu,Kainuu,2020,34923.4,71985.0,2513960949.0,55381038.599999905,2.202939493631725,1097.800000000003,3.1434510958268747
MK19,Lapland,Lappi,2016,36349.6,180533.0,6562302336.8,,,,
MK19,Lapland,Lappi,2017,38819.1,179715.0,6976374556.5,414072219.6999998,5.935349605250224,2469.5,6.361559129397643
MK19,Lapland,Lappi,2018,38920.5,178873.0,6961826596.5,-14547960.0,-0.20896757192018925,101.40000000000146,0.2605310825914401
MK19,Lapland,Lappi,2019,38863.0,177842.0,6911473646.0,-50352950.5,-0.7285414526486932,-57.5,-0.14795563903970357
MK19,Lapland,Lappi,2020,39058.3,176913.0,6909921027.900001,-1552618.0999994278,-0.02246940440752454,195.3000000000029,0.5000217623398943
MK21,Åland,Ahvenanmaa,2016,47022.3,29099.0,1368301907.7,,,,
MK21,Åland,Ahvenanmaa,2017,47500.4,29352.0,1394231740.8,25929833.099999905,1.8597936297965472,478.09999999999854,1.0065178398497667
MK21,Åland,Ahvenanmaa,2018,43976.8,29639.0,1303428375.2,-90803365.5999999,-6.966502136035429,-3523.5999999999985,-8.012406541631039
MK21,Åland,Ahvenanmaa,2019,45606.3,29837.0,1360755173.1000001,57326797.900000095,4.212866431321458,1629.5,3.5729712780909653
MK21,Åland,Ahvenanmaa,2020,40050.0,30007.0,1201780350.0,-158974823.10000014,-13.228276123835785,-5556.300000000003,-13.873408239700384
